# Downloaded from http://www.jiggins.gen.cam.ac.uk/pdfs/DGRP%20line%20means.zip
# From the paper doi:10.1371/journal.pgen.1003057

"id" "trait" "doc" "ref" "ge"
"121" "X646" "0.454545454545455" "0" "0" "1"
"122" "X69" "0.529411764705882" "1" "0" "1"
"123" "X703" "0.342857142857143" "1" "0" "1"
"124" "X705" "0.528301886792453" "1" "0" "1"
"125" "X707" "0.0547945205479452" "1" "1" "1"
"126" "X712" "0.46969696969697" "0" "0" "1"
"127" "X714" "0.218181818181818" "1" "0" "1"
"128" "X716" "0.642857142857143" "1" "0" "1"
"129" "X721" "0.493975903614458" "0" "0" "1"
"130" "X727" "1" "0" "1" "1"
"131" "X73" "0.581818181818182" "1" "0" "1"
"132" "X730" "0.523809523809524" "1" "0" "1"
"133" "X732" "0.0789473684210526" "1" "0" "1"
"134" "X737" "0.307692307692308" "1" "0" "1"
"135" "X738" "0.8" "1" "0" "1"
"136" "X748" "0.107692307692308" "1" "0" "1"
"137" "X75" "0.0943396226415094" "1" "0" "1"
"138" "X750" "0.272727272727273" "1" "0" "1"
"139" "X757" "0" "1" "0" "1"
"140" "X761" "0.630769230769231" "1" "0" "1"
"141" "X765" "0.755102040816326" "1" "0" "1"
"142" "X771" "0.65625" "1" "0" "1"
"143" "X774" "0.287878787878788" "1" "0" "1"
"144" "X776" "0.492307692307692" "0" "1" "1"
"145" "X783" "0.27536231884058" "1" "0" "1"
"146" "X786" "0.735632183908046" "0" "0" "1"
"147" "X787" "0.09375" "1" "0" "1"
"148" "X790" "0.0444444444444444" "1" "0" "1"
"149" "X796" "0.342465753424658" "1" "0" "1"
"150" "X799" "0.0606060606060606" "1" "0" "1"
"151" "X80" "0.385714285714286" "1" "0" "1"
"152" "X801" "0.738461538461539" "0" "0" "1"
"153" "X802" "0.7" "0" "0" "1"
"154" "X804" "0.553571428571429" "1" "0" "1"
"155" "X805" "0.695652173913043" "1" "0" "1"
"156" "X808" "0.0256410256410256" "1" "1" "1"
"157" "X810" "0.6375" "1" "0" "1"
"158" "X812" "0.141025641025641" "1" "0" "1"
"159" "X818" "0.0714285714285714" "1" "1" "1"
"160" "X819" "0.631578947368421" "1" "0" "1"
"161" "X820" "0.0579710144927536" "1" "0" "1"
"162" "X821" "0.983606557377049" "1" "0" "1"
"163" "X822" "0.0294117647058824" "1" "1" "1"
"164" "X83" "0.372549019607843" "1" "0" "1"
"165" "X832" "0.114285714285714" "1" "0" "1"
"166" "X837" "0.188679245283019" "1" "0" "1"
"167" "X85" "0.974358974358974" "1" "0" "1"
"168" "X850" "0.852941176470588" "0" "0" "1"
"169" "X852" "0.223684210526316" "1" "0" "1"
"170" "X853" "0.673076923076923" "0" "0" "1"
"171" "X855" "0.204545454545455" "1" "0" "1"
"172" "X857" "0.0422535211267606" "1" "0" "1"
"173" "X861" "0.272727272727273" "1" "1" "1"
"174" "X879" "0.757142857142857" "1" "0" "1"
"175" "X88" "0.107142857142857" "1" "1" "1"
"176" "X882" "0.23728813559322" "1" "0" "1"
"177" "X884" "0.117647058823529" "1" "0" "1"
"178" "X887" "0" "1" "1" "1"
"179" "X890" "0.125" "1" "1" "1"
"180" "X892" "0.818181818181818" "1" "0" "1"
"181" "X894" "0.89041095890411" "1" "1" "1"
"182" "X897" "0.575757575757576" "1" "0" "1"
"183" "X900" "0.402985074626866" "1" "0" "1"
"184" "X907" "0.222222222222222" "1" "0" "1"
"185" "X908" "0.174603174603175" "1" "0" "1"
"186" "X91" "0.73972602739726" "1" "0" "1"
"187" "X911" "0.428571428571429" "1" "0" "1"
"188" "X913" "0.386666666666667" "0.5" "0" "1"
"189" "X93" "0.339285714285714" "1" "0" "1"
